Istar	1.00000000	Vstar	0.01284557	Rchem	144.27000000	Temp	25.00000000
Frequency (Hz)	V11 Mag	V13 Mag	V22 Mag	V24 Mag	V33 Mag	V35 Mag	V44 Mag	V55 Mag	V11 Re	U11 Re	V11 Im	U11 Im	V13 Re	V13 Im	V15 Re	V15 Im	V22 Re	U22 Re	V22 Im	U22 Im	V24 Re	V24 Im	V33 Re	U33 Re	V33 Im	U33 Im	V35 Re	V35 Im	V44 Re	U44 Re	V44 Im	U44 Im	V55 Re	U55 Re	V55 Im	U55 Im
31.70657539	123.80262600	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	122.87054000	0.01462780	-15.16313290	-0.10510247	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.16913605	125.32109149	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	123.88848246	0.02168361	-18.89496983	-0.13096950	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19.97060394	127.61484672	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	125.43952128	0.03243456	-23.46221629	-0.16262713	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.85328770	131.02339711	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	127.78474116	0.04869033	-28.95151966	-0.20067595	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12.58456802	136.03927524	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	131.34861956	0.07339316	-35.41502499	-0.24547740	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.01602554	142.85859866	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	136.33654012	0.10796668	-42.67231512	-0.29578093	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.92664385	152.23026113	0.00000000	NaN	0.00000000	NaN	0.00000000	NaN	NaN	143.55149438	0.15797676	-50.66574991	-0.35118701	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	0.00000000	0.00000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.32488680	163.67465837	91753.55042688	48.82744998	43395658.23013681	111435.37070634	-48798023949.43157190	NaN	NaN	152.86216086	0.22251316	-58.50252513	-0.40550721	239144.18418785	367484.63657773	67462670762.23149100	120783334556.69395400	-48.84980778	-0.00003015	3.77170306	0.00000233	-42399409.61824756	9232041.85332902	10570.76540263	0.00000058	-106389.01823149	-0.00000585	14345959897.99082180	46613698600.20013420	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.00801277	177.85109931	2942.18555632	99.89375988	94449890.70321128	124832.72143093	67534552199.06566620	NaN	209259173627.92593400	165.38184021	0.30929266	-65.42041384	-0.45345820	330851.12912834	825830.16485723	111097083679.15550200	342739126977.96594200	-98.60705095	-0.00006086	-16.20631032	-0.00001000	-95447500.77999473	2810121.50708928	85452.29513467	0.00000470	-92450.34632743	-0.00000508	15162184591.67306330	-71969239551.23385620	NaN	NaN	NaN	NaN	-42750965499.40823360	-0.00000002	55647069975.29750820	0.00000002
3.97461343	193.30312887	-313281.98280525	165.62755762	217970285.88259614	249674.14593447	165172732851.91976900	NaN	NaN	180.19173802	0.41194670	-69.97822933	-0.48505046	271565.55484748	1556893.83062587	75287790789.66181940	894849620764.41418400	-148.43735911	-0.00009161	-73.00390945	-0.00004506	-217941198.11283076	-45249956.32770941	208272.72258349	0.00001144	-137994.83806531	-0.00000758	119015772634.83132900	-117351856252.93689000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.16244340	208.68639977	-988754.83001326	263.14936461	411257439.86198062	417502.78945857	426925144243.86267100	NaN	NaN	196.13964863	0.52248881	-71.26778167	-0.49398892	-109326.20627142	2578202.91651083	-275446074182.78625500	1782310285532.77490000	-202.58736073	-0.00012503	-167.95935496	-0.00010366	-344158560.79904932	-227660075.03780314	406106.22655537	0.00002232	-74046.52508935	-0.00000407	402572659515.20452800	-193362017975.33615100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.51691365	222.83685221	-2174572.42722323	406.63192502	636506711.95431304	716827.37332779	685554763021.42272900	NaN	NaN	211.86342356	0.63147734	-69.06476753	-0.47871884	-1056273.31783709	3750222.96499544	-885894647042.67102000	2763349633926.07813000	-238.41256738	-0.00014714	-329.30160114	-0.00020323	-364776789.31282550	-521918359.11520892	715331.07690380	0.00003931	50421.43309346	0.00000277	671334377714.81298800	171041917121.66787700	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.99298465	235.05443811	-3573404.61053074	565.65341076	913325310.39994240	1042937.47571215	1207444825525.92236000	189558454.16318309	160841952678.93789700	226.25616902	0.73123991	-63.70660497	-0.44157902	-2385087.26216868	4682933.69530305	-2443560307446.11621000	3633805275444.54785000	-193.30364109	-0.00011930	-531.70688986	-0.00032815	-222403544.75301883	-888682326.02630591	954429.07351048	0.00005245	429061.26625439	0.00002358	912313459429.83874400	844698254187.56445200	-186118140.22844791	-0.00000091	33148713.54130935	0.00000016	133247166936.05526700	0.00000006	-89619271524.32534780	-0.00000004
