f[Hz]	V11 Re	V13 Re	V15 Re	V11 Im	V13 Im	V15 Im	V22 Re	V24 Re	V22 Im	V24 Im	V33 Re	V35 Re	V33 Im	V35 Im	V44 Re	V44 Im	V55 Re	V55 Im
3.9746133496	180.1919720202599	272476.28127647383	73333729530.77663	-69.97670627675213	1555588.1871001194	897461992893.6195	-145.70015084005385	-221077033.62885785	-67.93118063625629	-49225498.830431536	208083.14925123332	113847031295.70772	-128223.84878548892	-132031301030.68375	-16610652.808526997	59764197.51354039	-47612397036.29375	-15737688553.827919
3.162443329	196.13980545864672	-109400.27676430478	-274507932632.25244	-71.26674162854137	2581836.09810074	1775996348739.432	-200.72341542763687	-345445341.2423385	-160.23098337891042	-236779182.5655191	410597.77812308504	385686178304.06824	-48958.93108488861	-241995717369.6399	-51543620.00960695	87179054.98905088	-50856796872.54282	-55968771578.962494
2.5169136598	211.86312485251628	-1050796.7643987495	-897435309730.5951	-69.06348027809427	3752506.7088839514	2758360895898.0703	-235.21284717021328	-368035836.6668359	-321.6957642178735	-530671076.4168965	702237.8676522403	694557063885.4253	60645.91241467397	153409004825.99448	-114750862.76159883	89268571.99377456	1390944783.5283525	-104120103087.52953
1.9929846939	226.25623577902502	-2383721.996008355	-2446532539073.6265	-63.70617122334836	4691664.312766634	3614412508154.8604	-189.75966944305335	-227983499.04515362	-522.9771771433083	-899343194.5531166	941368.7769681351	935172037075.1714	439291.83356494113	826706232357.6819	-194165590.42462516	33590084.24746467	124965448892.81042	-98232669222.13353
1.5830158859	237.88553322910602	-4023267.625665136	-3977222941207.9214	-56.463733511183236	5123708.256505666	4225492057700.8115	-53.52569341137925	98014541.37473968	-716.63610554528	-1197406320.1736178	974830.9638520081	831348816438.7616	1004579.6091119992	1760671919594.946	-232773142.42756572	-79930687.05639452	252448418435.09143	2397267341.175074
1.2582946785	246.73438645848847	-5616210.8811101755	-5506280673794.348	-48.48567593771539	5189014.850441994	4048690766600.1284	140.96978109175046	577449407.5734382	-849.5433184029469	-1358394091.8539805	710363.107699011	310905569990.8799	1666108.5147984498	2461663250818.229	-200348696.99841353	-214153755.9875312	335614625159.77765	199519144722.48016
1.0014998462	253.09038674816784	-6923174.359624509	-6824195282265.411	-40.68345948537014	4672488.015931653	4151046625182.256	391.3264065975399	960202542.9769437	-888.0521179187375	-1387274815.9653642	177425.73658220825	-533292473591.3069	2155523.2287985478	3080527203016.9893	-110656680.99440917	-317999946.5357967	275680748999.22784	438912248277.51135
0.7955054578	257.55774479802164	-8046462.601575719	-7558503455172.024	-33.52721615205754	4217691.373629842	3340077703680.2744	624.9799956481104	1309143438.8551226	-847.5373564700197	-1337587746.2377493	-516958.27482234	-1479840409339.5432	2447724.7210520324	3261089406241.617	9548609.087780712	-395676606.67957	137351174226.77081	602517384276.2655
0.6323248511	260.56359788230924	-8765951.801884424	-8337050111337.206	-27.33116031413575	3676316.7276123296	2607126594021.235	815.5050991116457	1581688137.1406672	-769.4162654771411	-1171530791.956435	-1192604.8252744575	-2486658591972.6016	2557712.407772628	2893526657181.6284	nan	nan	nan	nan
0.5007499231	262.59609032987726	-9372199.76289253	-8607778287776.54	-22.023957505608394	3029533.9631127454	2188959744416.3716	956.6156502294237	1791766204.9743164	-666.8817736705571	-1001861902.9164817	-1854511.0775338304	-3081805730386.228	2330447.2123941276	2848906482683.5034	242654766.85875908	-391694793.54397047	-263893158378.8323	689970884152.244
0.3989714834	263.8902159051192	-9747007.153062923	-8822913152274.49	-17.756571971737877	2453649.4565436044	1902730669260.0483	1061.7391362384787	1913474951.9764955	-560.7993612494033	-835444792.7729949	-2364507.4286516164	-3524029778092.048	2103928.5456487895	2362063558524.3154	331534401.3152052	-348021048.75017387	-424346594632.4231	651361884079.2295
0.3166031772	264.74717301703424	-9908543.418621397	-9203159854210.168	-14.218386265110283	2005170.3677457205	1489884311853.2437	1118.6661346802832	2053691160.5256176	-468.01654416922923	-653419713.3310885	-2871906.8866469013	-3324613158937.4556	1896759.7532036493	1663862467378.376	nan	nan	nan	nan
0.2516589357	265.31626821843975	-10190992.867121093	-8855943665755.16	-11.377451888859174	1606934.3378359524	1239442161664.941	1178.8412656289522	2048227601.0241406	-372.6293043434719	-560994100.3155961	-2983555.9582147184	-4119292158684.1675	1492984.7214462894	1660454330095.5808	435123353.84557265	-246852924.98037434	-639891020650.7985	488545356336.82294
0.1992984694	265.69636233619843	-10406036.419919904	-8497938596448.096	-9.023852305146516	974231.8801074136	1663619196099.3406	1293.8409235535366	1747432102.1159816	-287.6621021875971	-484151724.06861097	-3555271.809073518	-2907789575748.0625	1022490.3179702305	1992013927277.6125	nan	nan	nan	nan
0.1588138915	265.93063306194955	-10182072.705615293	-9541998430627.166	-7.246185894719634	1005211.584811238	850956257810.1381	1215.6884620311566	2154118041.641565	-231.74017121654913	-388468598.66255593	-3274434.2989358273	-4354155208571.75	987412.5306419485	1120549255281.5603	482148305.3180539	-170120485.41521338	-755751623220.8246	326918712435.2929
0.125845683	266.09297058483844	-10365596.406866591	-9328205243845.08	-5.7650045665642375	846898.3567943912	536924822412.7712	1232.7268553449449	2158975356.9092684	-183.31737226028704	-311260114.1612634	-3356164.985687054	-4433276674716.559	793701.183038093	919116268973.6853	nan	nan	nan	nan
0.0998530164	266.1844529057043	-10314593.270713754	-9608674231359.191	-4.593965475845428	742459.6224494844	223786079417.2996	1247.518222995552	2156203922.0824375	-147.79551700209447	-234427278.72288457	-3433955.090104484	-4381536808563.209	640513.1698200109	703129204121.82	nan	nan	nan	nan
